"UserID","Type","CLGroup","CLRole","PlayerRole","Item09IE","Item21IE","Item08IE","Item11IE","Item24IE","Item12IE","Item05PC","Item18PC","Item20PC","Item13PC","Item03PC","Item06PT","Item02PT","Item04PT","Item19EI","Item01EI","Item22EI"
10169,"ont-gamified","Resistance","Apprentice","Social Achiever",7,7,7,7,7,7,2,2,2,4,4,6,7,7,5,5,6
10170,"w/o-gamified","Grupo11","Apprentice",NA,4,4,6,4,4,3,2,1,3,2,3,1,1,1,3,3,5
10171,"ont-gamified","Mafia","Master","Social Achiever",6,7,6,6,5,5,2,2,1,2,2,1,2,2,1,1,6
10172,"w/o-gamified","Grupo5","Apprentice",NA,5,5,7,5,5,4,6,5,5,5,5,5,4,6,5,5,5
10174,"w/o-gamified","Grupo7","Master",NA,4,4,6,4,6,3,4,3,4,4,4,6,4,5,2,5,4
10175,"ont-gamified","Warriors","Master","Social Achiever",4,4,4,4,4,4,1,1,1,1,3,1,1,1,1,1,4
10176,"ont-gamified","Outlaws","Master","Social Achiever",4,4,4,4,4,3,4,5,4,6,4,6,4,6,5,4,4
10179,"w/o-gamified","Grupo10","Master",NA,3,4,3,2,4,6,6,5,4,5,7,2,1,1,1,2,5
10181,"w/o-gamified","Grupo2","Apprentice",NA,3,3,2,1,2,2,1,5,3,5,5,5,4,1,4,7,5
10183,"w/o-gamified","Grupo3","Apprentice",NA,3,3,3,3,2,3,4,3,5,2,4,5,4,4,3,4,4
10184,"w/o-gamified","Grupo10","Apprentice",NA,4,3,4,4,4,4,5,4,4,3,4,4,4,3,4,4,4
10185,"w/o-gamified","Grupo9","Apprentice",NA,4,3,6,5,6,5,6,6,3,5,3,5,4,4,3,4,5
10186,"ont-gamified","Slayers","Apprentice","Social Achiever",4,3,6,6,3,1,4,4,1,4,4,4,5,4,1,1,7
10188,"ont-gamified","Vandals","Master","Yee Achiever",3,3,4,1,3,4,1,1,1,3,3,1,1,1,3,2,1
10189,"ont-gamified","Vikings","Apprentice","Social Achiever",2,2,4,1,2,1,5,4,4,5,5,2,1,1,3,1,6
10190,"w/o-gamified","Grupo4","Apprentice",NA,3,4,3,3,4,2,7,5,4,3,7,6,5,7,5,3,4
10191,"w/o-gamified","Grupo1","Master",NA,3,2,3,3,2,1,5,4,5,5,5,1,1,1,4,2,4
10192,"ont-gamified","Attractive Devils","Apprentice","Social Achiever",4,5,4,6,1,4,2,4,4,3,3,4,4,4,5,1,5
10193,"ont-gamified","Vandals","Apprentice","Yee Achiever",2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2
10197,"w/o-gamified","Grupo8","Apprentice",NA,3,2,5,5,2,4,3,2,4,4,2,5,3,3,3,3,4
10198,"ont-gamified","Attractive Devils","Apprentice","Social Achiever",6,3,4,4,2,5,4,6,6,5,1,4,4,4,3,2,6
10199,"w/o-gamified","Grupo1","Apprentice",NA,3,3,4,4,3,1,5,5,5,3,3,3,4,2,4,4,5
10200,"ont-gamified","Warriors","Apprentice","Social Achiever",4,5,5,5,5,3,4,2,2,5,3,4,5,5,1,1,6
10201,"w/o-gamified","Grupo11","Apprentice",NA,5,6,6,5,3,6,3,4,4,3,5,4,3,2,3,3,5
10202,"ont-gamified","Silly Knights","Apprentice","Social Achiever",3,3,3,3,3,3,2,5,2,2,3,3,3,3,2,2,5
10203,"ont-gamified","Mercenaries","Apprentice","Social Achiever",5,4,3,4,4,5,1,1,1,1,4,1,2,5,1,1,6
10204,"w/o-gamified","Grupo6","Apprentice",NA,1,1,1,1,1,1,7,7,7,7,7,7,7,7,1,4,7
10206,"w/o-gamified","Grupo8","Apprentice",NA,4,5,4,2,4,3,2,2,2,3,3,3,3,2,2,2,5
10208,"ont-gamified","Mercenaries","Master","Social Achiever",4,4,4,4,4,3,2,4,2,4,4,2,2,2,2,2,4
10209,"ont-gamified","Mafia","Apprentice","Social Achiever",2,2,2,4,2,2,7,7,7,7,7,1,2,1,3,2,2
10210,"w/o-gamified","Grupo6","Apprentice",NA,1,1,1,1,1,1,7,7,7,7,7,7,7,7,1,1,7
10213,"w/o-gamified","Grupo7","Apprentice",NA,3,4,4,7,4,1,7,7,7,7,7,7,1,7,1,1,7
10214,"ont-gamified","Vikings","Apprentice","Social Achiever",1,1,2,1,1,1,2,7,6,6,6,4,5,1,1,1,7
10215,"ont-gamified","Vikings","Master","Social Achiever",5,4,5,2,5,3,1,4,1,2,5,1,1,1,4,1,1
10216,"ont-gamified","Silly Knights","Master","Social Achiever",5,4,4,3,5,7,2,1,3,2,3,1,1,1,2,1,4
10217,"w/o-gamified","Grupo9","Apprentice",NA,5,5,5,3,4,4,5,4,2,4,4,1,1,1,4,3,2
10218,"w/o-gamified","Grupo10","Apprentice",NA,4,4,4,4,4,4,5,5,4,4,4,4,4,5,4,4,5
10219,"w/o-gamified","Grupo3","Master",NA,2,1,1,1,2,4,7,4,7,1,7,1,1,1,7,5,2
10220,"w/o-gamified","Grupo3","Apprentice",NA,1,4,4,1,4,1,1,4,1,1,1,1,1,1,1,1,7
10221,"ont-gamified","Warriors","Apprentice","Social Achiever",3,3,3,2,3,2,4,5,6,6,4,6,4,2,3,2,5
10223,"ont-gamified","Slayers","Master","Social Achiever",5,5,6,4,5,5,4,3,4,4,4,2,4,4,4,4,4
10224,"ont-gamified","Mercenaries","Apprentice","Social Achiever",4,4,4,4,4,4,5,4,4,4,5,5,4,5,5,4,6
10226,"w/o-gamified","Grupo4","Apprentice",NA,1,1,4,1,1,1,7,7,7,7,7,7,7,7,7,7,1
10227,"w/o-gamified","Grupo5","Master",NA,4,3,6,3,5,5,4,3,3,3,4,3,5,4,3,5,3
10228,"ont-gamified","Resistance","Apprentice","Social Achiever",1,1,2,1,2,1,2,1,2,1,2,2,2,3,1,2,1
10230,"ont-gamified","Resistance","Master","Social Achiever",4,5,5,4,5,4,4,3,5,3,5,6,5,4,2,3,5
10231,"w/o-gamified","Grupo9","Master",NA,4,4,4,4,5,6,1,2,2,2,1,1,1,1,4,3,1
10232,"w/o-gamified","Grupo7","Apprentice",NA,4,4,5,5,5,4,3,4,4,3,3,2,2,2,1,1,6
10234,"w/o-gamified","Grupo4","Master",NA,2,2,2,1,2,1,6,6,6,7,6,2,4,2,6,6,4
10237,"ont-gamified","Outlaws","Apprentice","Social Achiever",3,5,3,3,6,4,3,3,4,3,6,4,6,5,4,2,5
10238,"w/o-gamified","Grupo2","Master",NA,4,4,4,4,4,3,5,5,4,5,7,5,5,5,2,1,5
